link,name,author,description,rating,number_of_ratings,number_of_reviews,genres
https://www.goodreads.com//book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird,Harper Lee,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",4.27,5496564,107012,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Academic', 'School', 'Literature', 'Young Adult', 'Historical', 'Academic', 'Read For School', 'Novels', 'Young Adult', 'High School']"
https://www.goodreads.com//book/show/61439040-1984,1984,George Orwell,"The new novel by George Orwell is the major work towards which all his previous writing has pointed. Critics have hailed it as his ""most solid, most brilliant"" work. Though the story of Nineteen Eighty-Four takes place thirty-five years hence, it is in every sense timely. The scene is London, where there has been no new housing since 1950 and where the city-wide slums are called Victory Mansions. Science has abandoned Man for the State. As every citizen knows only too well, war is peace. To Winston Smith, a young man who works in the Ministry of Truth (Minitru for short), come two people who transform this life completely. One is Julia, whom he meets after she hands him a slip reading, ""I love you."" The other is O'Brien, who tells him, ""We shall meet in the place where there is no darkness."" The way in which Winston is betrayed by the one and, against his own desires and instincts, ultimately betrays the other, makes a story of mounting drama and suspense. Alternate cover edition can be found  .",4.19,4022078,95604,"['Classics', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'Academic', 'School', 'Fantasy', 'Adult']"
https://www.goodreads.com//book/show/1885.Pride_and_Prejudice,Pride and Prejudice,Jane Austen,"Since its immediate success in 1813,   has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",4.28,3790329,94287,"['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Audiobook', 'Romance', 'Historical Romance', 'Adult']"
https://www.goodreads.com//book/show/19063.The_Book_Thief,The Book Thief,Markus Zusak,"It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still. By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found. But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down. In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time. (Note: this title was not published as YA fiction)",4.39,2276991,131841,"['Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'War', 'World War II', 'Writing', 'Books About Books', 'Audiobook']"
https://www.goodreads.com//book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars,John Green,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.",4.16,4569603,169957,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Young Adult', 'Teen', 'Young Adult', 'Coming Of Age', 'Novels', 'Drama', 'Love']"
https://www.goodreads.com//book/show/48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl,Anne Frank,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.  In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short. --back cover",4.18,3376203,36323,"['Classics', 'Nonfiction', 'History', 'Biography', 'Autobiography', 'Memoir', 'Historical', 'World War II', 'Holocaust', 'Biography', 'Autobiography', 'War', 'War', 'World War II']"
https://www.goodreads.com//book/show/4671.The_Great_Gatsby,The Great Gatsby,F. Scott Fitzgerald,"Alternate Cover Edition ISBN: 0743273567 (ISBN13:  ) , F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when   noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.  is one of the great classics of twentieth-century literature. (from the back cover)",3.93,4657127,88857,"['Classics', 'Fiction', 'Academic', 'School', 'Historical', 'Historical Fiction', 'Literature', 'Romance', 'Novels', 'Academic', 'Read For School', 'Young Adult', 'High School', 'Literature', 'American']"
https://www.goodreads.com//book/show/18144590-the-alchemist,The Alchemist,Paulo Coelho,"Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery,   has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations. Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",3.90,2676564,103718,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help', 'Literature', 'Adventure', 'Inspirational']"
https://www.goodreads.com//book/show/18143977-all-the-light-we-cannot-see,All the Light We Cannot See,Anthony Doerr,"Marie-Laure lives in Paris near the Museum of Natural History, where her father works. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel. In a mining town in Germany, Werner Pfennig, an orphan, grows up with his younger sister, enchanted by a crude radio they find that brings them news and stories from places they have never seen or imagined. Werner becomes an expert at building and fixing these crucial new instruments and is enlisted to use his talent to track down the resistance. Deftly interweaving the lives of Marie-Laure and Werner, Doerr illuminates the ways, against all odds, people try to be good to one another. From the highly acclaimed, multiple award-winning Anthony Doerr, the stunningly beautiful instant   bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.",4.32,1373113,91297,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'War', 'War', 'World War II', 'Audiobook', 'Adult', 'Cultural', 'France', 'Book Club', 'Literary Fiction']"
https://www.goodreads.com//book/show/32620332-the-seven-husbands-of-evelyn-hugo,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the ‘80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways.",4.46,1680910,172828,"['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'LGBT', 'Contemporary', 'Audiobook', 'Adult', 'Historical', 'LGBT', 'Queer', 'LGBT', 'Lesbian']"
