link,name
https://www.goodreads.com//book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird 
https://www.goodreads.com//book/show/61439040-1984,1984 
https://www.goodreads.com//book/show/1885.Pride_and_Prejudice,Pride and Prejudice 
https://www.goodreads.com//book/show/19063.The_Book_Thief,The Book Thief 
https://www.goodreads.com//book/show/11870085-the-fault-in-our-stars,The Fault in Our Stars 
https://www.goodreads.com//book/show/48855.The_Diary_of_a_Young_Girl,The Diary of a Young Girl 
https://www.goodreads.com//book/show/4671.The_Great_Gatsby,The Great Gatsby 
https://www.goodreads.com//book/show/18144590-the-alchemist,The Alchemist 
https://www.goodreads.com//book/show/18143977-all-the-light-we-cannot-see,All the Light We Cannot See 
https://www.goodreads.com//book/show/32620332-the-seven-husbands-of-evelyn-hugo,The Seven Husbands of Evelyn Hugo 
https://www.goodreads.com//book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,Harry Potter and the Philosopher's Stone 
https://www.goodreads.com//book/show/2767052-the-hunger-games,The Hunger Games 
https://www.goodreads.com//book/show/2429135.The_Girl_with_the_Dragon_Tattoo,The Girl with the Dragon Tattoo 
https://www.goodreads.com//book/show/22557272-the-girl-on-the-train,The Girl on the Train 
https://www.goodreads.com//book/show/11084145-steve-jobs,Steve Jobs 
https://www.goodreads.com//book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye 
https://www.goodreads.com//book/show/13079982-fahrenheit-451,Fahrenheit 451 
https://www.goodreads.com//book/show/38447.The_Handmaid_s_Tale,The Handmaid's Tale 
https://www.goodreads.com//book/show/52578297-the-midnight-library,The Midnight Library 
https://www.goodreads.com//book/show/10210.Jane_Eyre,Jane Eyre 
https://www.goodreads.com//book/show/41865.Twilight,Twilight 
https://www.goodreads.com//book/show/1934.Little_Women,Little Women 
https://www.goodreads.com//book/show/19288043-gone-girl,Gone Girl 
https://www.goodreads.com//book/show/77203.The_Kite_Runner,The Kite Runner 
https://www.goodreads.com//book/show/6185.Wuthering_Heights,Wuthering Heights 
https://www.goodreads.com//book/show/36809135-where-the-crawdads-sing,Where the Crawdads Sing 
https://www.goodreads.com//book/show/50623864-the-invisible-life-of-addie-larue,The Invisible Life of Addie LaRue 
https://www.goodreads.com//book/show/13335037-divergent,Divergent 
https://www.goodreads.com//book/show/23692271-sapiens,Sapiens: A Brief History of Humankind 
https://www.goodreads.com//book/show/35959740-circe,Circe 
https://www.goodreads.com//book/show/15823480-anna-karenina,Anna Karenina 
https://www.goodreads.com//book/show/4865.How_to_Win_Friends_and_Influence_People,How to Win Friends and Influence People 
https://www.goodreads.com//book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife 
https://www.goodreads.com//book/show/40097951-the-silent-patient,The Silent Patient 
https://www.goodreads.com//book/show/5907.The_Hobbit,The Hobbit 
https://www.goodreads.com//book/show/7624.Lord_of_the_Flies,Lord of the Flies 
https://www.goodreads.com//book/show/13496.A_Game_of_Thrones,A Game of Thrones 
https://www.goodreads.com//book/show/44767458-dune,Dune 
https://www.goodreads.com//book/show/50659467-a-court-of-thorns-and-roses,A Court of Thorns and Roses 
https://www.goodreads.com//book/show/9361589-the-night-circus,The Night Circus 
https://www.goodreads.com//book/show/35133922-educated,Educated 
https://www.goodreads.com//book/show/5129.Brave_New_World,Brave New World 
https://www.goodreads.com//book/show/15745753-eleanor-park,Eleanor & Park 
https://www.goodreads.com//book/show/54985743-people-we-meet-on-vacation,People We Meet on Vacation 
https://www.goodreads.com//book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,The Hitchhiker's Guide to the Galaxy 
https://www.goodreads.com//book/show/22328546-red-queen,Red Queen 
https://www.goodreads.com//book/show/23437156-six-of-crows,Six of Crows 
https://www.goodreads.com//book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life 
https://www.goodreads.com//book/show/4667024-the-help,The Help 
https://www.goodreads.com//book/show/26032825-the-cruel-prince,The Cruel Prince 
https://www.goodreads.com//book/show/24280.Les_Mis_rables,Les Misérables 
https://www.goodreads.com//book/show/256683.City_of_Bones,City of Bones 
https://www.goodreads.com//book/show/7144.Crime_and_Punishment,Crime and Punishment 
https://www.goodreads.com//book/show/41150487-red-white-royal-blue,"Red, White & Royal Blue "
https://www.goodreads.com//book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five 
https://www.goodreads.com//book/show/16143347-we-were-liars,We Were Liars 
https://www.goodreads.com//book/show/168668.Catch_22,Catch-22 
https://www.goodreads.com//book/show/38746485-becoming,Becoming 
https://www.goodreads.com//book/show/59344312-verity,Verity 
https://www.goodreads.com//book/show/12609433-the-power-of-habit,The Power of Habit: Why We Do What We Do in Life and Business 
https://www.goodreads.com//book/show/28187.The_Lightning_Thief,The Lightning Thief 
https://www.goodreads.com//book/show/10507293-the-selection,The Selection 
https://www.goodreads.com//book/show/22822858-a-little-life,A Little Life 
https://www.goodreads.com//book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Miss Peregrine's Home for Peculiar Children 
https://www.goodreads.com//book/show/36072.The_7_Habits_of_Highly_Effective_People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change 
https://www.goodreads.com//book/show/11588.The_Shining,The Shining 
https://www.goodreads.com//book/show/17347634-me-before-you,Me Before You 
https://www.goodreads.com//book/show/18405.Gone_with_the_Wind,Gone with the Wind 
https://www.goodreads.com//book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha 
https://www.goodreads.com//book/show/36381037-cinder,Cinder 
https://www.goodreads.com//book/show/7604.Lolita,Lolita 
https://www.goodreads.com//book/show/21787.The_Princess_Bride,The Princess Bride 
https://www.goodreads.com//book/show/55404546-malibu-rising,Malibu Rising 
https://www.goodreads.com//book/show/6514.The_Bell_Jar,The Bell Jar 
https://www.goodreads.com//book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities 
https://www.goodreads.com//book/show/17245.Dracula,Dracula 
https://www.goodreads.com//book/show/17788401-ugly-love,Ugly Love 
https://www.goodreads.com//book/show/40597810-daisy-jones-the-six,Daisy Jones & The Six 
https://www.goodreads.com//book/show/21853621-the-nightingale,The Nightingale 
https://www.goodreads.com//book/show/7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo 
