link,name,author,description,rating,number_of_ratings,number_of_reviews,genres
https://www.goodreads.com//book/show/62967882-maybe-someday,Maybe Someday,Colleen Hoover,"At twenty-two years old, Sydney has a great life: She's in college, working a steady job, in love with her wonderful boyfriend, Hunter, and rooming with her best friend, Tori. But everything changes when she discovers Hunter's cheating on her--and she is left trying to decide what to do next. Sydney becomes captivated by Ridge, her mysterious neighbor. She can't take her eyes off him or stop listening to the passionate way he plays his guitar every evening out on his balcony. And there's something about Sydney that Ridge can't ignore, either. When their inevitable encounter happens, they soon find themselves needing each other in more ways than one... Original music created for Maybe Someday by musician Griffin Peterson can be accessed through the website listed in the ebook and paperback.  From the author of the   bestsellers  ,  ,  ,  , and  ,   is destined to be another bestseller and long-lasting fan favorite.",4.14,322171,27626,"['Romance', 'New Adult', 'Contemporary', 'Romance', 'Contemporary Romance', 'Young Adult', 'Fiction', 'Music', 'Womens Fiction', 'Chick Lit', 'Audiobook', 'Academic', 'College']"
https://www.goodreads.com//book/show/16101128-the-5th-wave,The 5th Wave,Rick Yancey,"After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the  lucky survive. After the 4th wave, only one rule applies: trust no one. Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scattered Earth's last survivors. To stay alone is to stay alive, Cassie believes, until she meets Evan Walker. Beguiling and mysterious, Evan Walker may be Cassie's only hope for rescuing her brother-or even saving herself. But Cassie must choose: between trust and despair, between defiance and surrender, between life and death. To give up or to get up.",4.02,435270,30964,"['Young Adult', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Fiction', 'Science Fiction', 'Aliens', 'Fantasy', 'Romance', 'Apocalyptic', 'Post Apocalyptic', 'Audiobook', 'Science Fiction', 'Apocalyptic']"
https://www.goodreads.com//book/show/7108725-start-with-why,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over? People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all  . It was their natural ability to start with why that enabled them to inspire those around them and to achieve remarkable things. In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way—and it's the complete opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be lead, and people can be inspired. And it all starts with WHY. Any organization can explain   it does; some can explain   they do it; but very few can clearly articulate  . WHY is not money or profit—those are always results. WHY does your organization exist? WHY does it do the things it does? WHY do customers really buy from one company or another? WHY are people loyal to some leaders, but not others? Starting with WHY works in big business and small business, in the nonprofit world and in politics. Those who start with WHY never manipulate, they inspire. And the people who follow them don't do so because they have to; they follow because they want to. Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire. This book is for anyone who wants to inspire others or who wants to find someone to inspire them.",4.10,185038,8711,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Self Help', 'Personal Development', 'Business', 'Management', 'Psychology', 'Audiobook', 'Business', 'Entrepreneurship', 'Buisness']"
https://www.goodreads.com//book/show/50892212-these-violent-delights,These Violent Delights,Chloe Gong,"The year is 1926, and Shanghai hums to the tune of debauchery. A blood feud between two gangs runs the streets red, leaving the city helpless in the grip of chaos. At the heart of it all is eighteen-year-old Juliette Cai, a former flapper who has returned to assume her role as the proud heir of the Scarlet Gang—a network of criminals far above the law. Their only rivals in power are the White Flowers, who have fought the Scarlets for generations. And behind every move is their heir, Roma Montagov, Juliette’s first love…and first betrayal. But when gangsters on both sides show signs of instability culminating in clawing their own throats out, the people start to whisper. Of a contagion, a madness. Of a monster in the shadows. As the deaths stack up, Juliette and Roma must set their guns—and grudges—aside and work together, for if they can’t stop this mayhem, then there will be no city left for either to rule. Perfect for fans of  and  , this heart-stopping debut is an imaginative  retelling set in 1920s Shanghai, with rival gangs and a monster in the depths of the Huangpu River.",3.95,101838,19572,"['Fantasy', 'Historical', 'Historical Fiction', 'Young Adult', 'Romance', 'Retellings', 'Historical', 'Fiction', 'Young Adult', 'Young Adult Fantasy', 'Mystery', 'Audiobook']"
https://www.goodreads.com//book/show/34728667-children-of-blood-and-bone,Children of Blood and Bone,Tomi Adeyemi,"Zélie Adebola remembers when the soil of Orïsha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zélie’s Reaper mother summoned forth souls. But everything changed the night magic disappeared. Under the orders of a ruthless king, maji were killed, leaving Zélie without a mother and her people without hope. Now Zélie has one chance to bring back magic and strike against the monarchy. With the help of a rogue princess, Zélie must outwit and outrun the crown prince, who is hell-bent on eradicating magic for good. Danger lurks in Orïsha, where snow leoponaires prowl and vengeful spirits wait in the waters. Yet the greatest danger may be Zélie herself as she struggles to control her powers and her growing feelings for an enemy.",4.11,203647,29005,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'Magic', 'Audiobook', 'Romance', 'Adventure', 'Fantasy', 'High Fantasy', 'Cultural', 'Africa']"
https://www.goodreads.com//book/show/54860443-one-last-stop,One Last Stop,Casey McQuiston,"For cynical twenty-three-year-old August, moving to New York City is supposed to prove her right: that things like magic and cinematic love stories don’t exist, and the only smart way to go through life is alone. She can’t imagine how waiting tables at a 24-hour pancake diner and moving in with too many weird roommates could possibly change that. And there’s certainly no chance of her subway commute being anything more than a daily trudge through boredom and electrical failures. But then, there’s this gorgeous girl on the train. Jane. Dazzling, charming, mysterious, impossible Jane. Jane with her rough edges and swoopy hair and soft smile, showing up in a leather jacket to save August’s day when she needed it most. August’s subway crush becomes the best part of her day, but pretty soon, she discovers there’s one big problem: Jane doesn’t just look like an old school punk rocker. She’s literally displaced in time from the 1970s, and August is going to have to use everything she tried to leave in her own past to help her. Maybe it’s time to start believing in some things, after all. Casey McQuiston’s   is a magical, sexy, big-hearted romance where the impossible becomes possible as August does everything in her power to save the girl lost in time.",4.00,164344,27431,"['Romance', 'LGBT', 'Contemporary', 'LGBT', 'Queer', 'Fiction', 'LGBT', 'Lesbian', 'Adult', 'Audiobook', 'New Adult', 'Science Fiction']"
https://www.goodreads.com//book/show/7235533-the-way-of-kings,The Way of Kings,Brandon Sanderson,"Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter. It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars were fought for them, and won by them. One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable. Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by over-powering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity. Across the ocean, an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic, Dalinar's niece, Jasnah. Though she genuinely loves learning, Shallan's motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war. The result of over ten years of planning, writing, and world-building, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making.",4.65,403452,27892,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy', 'Fantasy', 'Magic', 'Epic', 'Adventure']"
https://www.goodreads.com//book/show/40024139-serpent-dove,Serpent & Dove,Shelby Mahurin,"Two years ago, Louise le Blanc fled her coven and took shelter in the city of Cesarine, forsaking all magic and living off whatever she could steal. There, witches like Lou are hunted. They are feared. And they are burned. Sworn to the Church as a Chasseur, Reid Diggory has lived his life by one principle:   His path was never meant to cross with Lou's, but a wicked stunt forces them into an impossible union—holy matrimony. The war between witches and Church is an ancient one, and Lou's most dangerous enemies bring a fate worse than fire. Unable to ignore her growing feelings, yet powerless to change what she is, a choice must be made. And love makes fools of us all.",4.02,229732,29333,"['Fantasy', 'Romance', 'Young Adult', 'Young Adult', 'Young Adult Fantasy', 'Paranormal', 'Witches', 'Fantasy', 'Magic', 'Fiction', 'Romance', 'Fantasy Romance', 'Fantasy', 'Paranormal', 'New Adult']"
https://www.goodreads.com//book/show/1656001.The_Host,The Host,Stephenie Meyer,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind. As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.    - ",3.85,965954,42847,"['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Paranormal', 'Science Fiction', 'Aliens', 'Adult', 'Romance', 'Paranormal Romance']"
https://www.goodreads.com//book/show/19161852-the-fifth-season,The Fifth Season,N.K. Jemisin,"This is the way the world ends. Again. Three terrible things happen in a single day. Essun, a woman living an ordinary life in a small town, comes home to find that her husband has brutally murdered their son and kidnapped their daughter. Meanwhile, mighty Sanze -- the world-spanning empire whose innovations have been civilization's bedrock for a thousand years -- collapses as most of its citizens are murdered to serve a madman's vengeance. And worst of all, across the heart of the vast continent known as the Stillness, a great red rift has been torn into the heart of the earth, spewing ash enough to darken the sky for years. Or centuries. Now Essun must pursue the wreckage of her family through a deadly, dying land. Without sunlight, clean water, or arable land, and with limited stockpiles of supplies, there will be war all across the Stillness: a battle royale of nations not for power or territory, but simply for the basic resources necessary to get through the long dark night. Essun does not care if the world falls apart around her. She'll break it herself, if she must, to save her daughter.",4.32,219383,25230,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Adult', 'Science Fiction Fantasy', 'Audiobook', 'LGBT', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'High Fantasy']"
